Wall time,Step,Value
1556911874.1106355,0,87.30000305175781
1556912605.9786534,1,91.4000015258789
1556913333.740439,2,93.9000015258789
1556914055.2934632,3,94.00000762939453
1556914795.9292204,4,94.00000762939453
1556915528.843661,5,94.50000762939453
1556916249.3868911,6,94.30000305175781
1556916961.3618205,7,94.30000305175781
1556917673.7605035,8,94.50000762939453
1556918387.202972,9,95.50000762939453
1556919101.8497362,10,94.60000610351562
1556919812.0350516,11,95.20000457763672
1556920524.0753503,12,93.9000015258789
1556921241.7449143,13,95.4000015258789
1556921960.1342192,14,95.10000610351562
1556922676.547862,15,93.80000305175781
1556923394.3996575,16,95.9000015258789
1556924111.6882207,17,94.10000610351562
1556924828.9644234,18,95.20000457763672
1556925545.8591483,19,94.80000305175781
1556926263.1064374,20,95.60000610351562
1556926979.6650665,21,95.30000305175781
1556927697.2130826,22,95.20000457763672
1556928409.463903,23,94.9000015258789
1556929119.8716223,24,95.10000610351562
1556929834.3123755,25,95.80000305175781
1556930545.6004124,26,96.20000457763672
1556949698.1504416,27,95.70000457763672
1556950502.1718693,28,95.70000457763672
1556951301.4242268,29,95.4000015258789
1556952122.9790397,30,95.50000762939453
1556952942.5463872,31,96.00000762939453
1556953768.9431489,32,95.80000305175781
1556954593.5361578,33,95.80000305175781
1556955391.3057306,34,95.50000762939453
1556956252.6962128,35,95.60000610351562
1556957073.0923257,36,95.60000610351562
1556957871.025711,37,95.50000762939453
1556958677.584044,38,95.4000015258789
1556959490.8276808,39,95.00000762939453
1556960303.3295977,40,94.9000015258789
1556961125.1914687,41,94.80000305175781
1556961952.2530072,42,95.00000762939453
1556962731.8486612,43,94.9000015258789
1556963551.3000305,44,94.80000305175781
1556964373.3231575,45,94.80000305175781
1556965197.1649978,46,94.60000610351562
1556965996.1109805,47,95.10000610351562
1556966790.859296,48,94.4000015258789
1556967583.9593768,49,94.4000015258789
1556968376.2163618,50,94.50000762939453
1556969202.1093206,51,94.50000762939453
1556970037.434561,52,94.4000015258789
1556970864.256022,53,94.50000762939453
1556971675.5880022,54,94.50000762939453
1556972482.3297484,55,94.4000015258789
