Wall time,Step,Value
1556911874.1096358,0,32.20000076293945
1556912605.9786534,1,40.80000305175781
1556913333.740439,2,43.10000228881836
1556914055.2934632,3,47.10000228881836
1556914795.9292204,4,49.500003814697266
1556915528.8426595,5,47.500003814697266
1556916249.3868911,6,52.30000305175781
1556916961.3618205,7,48.70000076293945
1556917673.7605035,8,51.500003814697266
1556918387.202972,9,51.000003814697266
1556919101.8487358,10,51.80000305175781
1556919812.0350516,11,55.30000305175781
1556920524.0753503,12,50.60000228881836
1556921241.743918,13,50.80000305175781
1556921960.1342192,14,52.20000076293945
1556922676.547862,15,48.900001525878906
1556923394.3996575,16,53.30000305175781
1556924111.6872196,17,51.400001525878906
1556924828.9634228,18,53.900001525878906
1556925545.8591483,19,51.60000228881836
1556926263.1064374,20,53.10000228881836
1556926979.6650665,21,50.900001525878906
1556927697.2120838,22,51.000003814697266
1556928409.463903,23,52.20000076293945
1556929119.8706229,24,53.80000305175781
1556929834.3123755,25,52.30000305175781
1556930545.6004124,26,53.400001525878906
1556949698.1504416,27,56.000003814697266
1556950502.1708696,28,56.000003814697266
1556951301.423226,29,57.000003814697266
1556952122.9780393,30,55.500003814697266
1556952942.5453877,31,55.500003814697266
1556953768.9431489,32,54.400001525878906
1556954593.5351567,33,55.10000228881836
1556955391.3057306,34,55.000003814697266
1556956252.6952136,35,56.60000228881836
1556957073.0923257,36,56.500003814697266
1556957871.025711,37,57.30000305175781
1556958677.5830433,38,56.70000457763672
1556959490.8276808,39,54.80000305175781
1556960303.3295977,40,56.500003814697266
1556961125.1914687,41,56.70000457763672
1556961952.2530072,42,56.30000305175781
1556962731.8486612,43,55.900001525878906
1556963551.3000305,44,55.900001525878906
1556964373.322158,45,56.10000228881836
1556965197.1649978,46,56.30000305175781
1556965996.1109805,47,56.20000076293945
1556966790.859296,48,56.20000076293945
1556967583.9593768,49,55.900001525878906
1556968376.215361,50,55.500003814697266
1556969202.1083202,51,55.60000228881836
1556970037.43356,52,55.80000305175781
1556970864.2550232,53,55.000003814697266
1556971675.5880022,54,55.60000228881836
1556972482.328758,55,56.10000228881836
